2021-04-18 22:28:39.133 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2021-04-18 22:28:39.180 [restartedMain] INFO  com.zcj.yygh.hosp.ServiceHospApplication - Starting ServiceHospApplication on DESKTOP-DHLP3AU with PID 14680 (D:\xiangmu\yygh_parent\service\service_hospital\target\classes started by 长江 in D:\xiangmu\yygh_parent)
2021-04-18 22:28:39.180 [restartedMain] INFO  com.zcj.yygh.hosp.ServiceHospApplication - The following profiles are active: dev
2021-04-18 22:28:39.244 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-04-18 22:28:39.245 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-04-18 22:28:40.366 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-04-18 22:28:40.369 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-04-18 22:28:40.399 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2021-04-18 22:28:41.274 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8201 (http)
2021-04-18 22:28:41.284 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8201"]
2021-04-18 22:28:41.284 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-04-18 22:28:41.285 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-04-18 22:28:41.422 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-18 22:28:41.422 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2176 ms
2021-04-18 22:28:44.775 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-04-18 22:28:44.873 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-18 22:28:45.142 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-04-18 22:28:45.153 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 2 custom documentation plugin(s)
2021-04-18 22:28:45.178 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-04-18 22:28:45.315 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-04-18 22:28:45.321 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8201"]
2021-04-18 22:28:45.341 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8201 (http) with context path ''
2021-04-18 22:28:45.344 [restartedMain] INFO  com.zcj.yygh.hosp.ServiceHospApplication - Started ServiceHospApplication in 6.901 seconds (JVM running for 9.563)
2021-04-18 22:40:58.171 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2021-04-18 22:40:58.204 [restartedMain] INFO  com.zcj.yygh.hosp.ServiceHospApplication - Starting ServiceHospApplication on DESKTOP-DHLP3AU with PID 17984 (D:\xiangmu\yygh_parent\service\service_hospital\target\classes started by 长江 in D:\xiangmu\yygh_parent)
2021-04-18 22:40:58.204 [restartedMain] INFO  com.zcj.yygh.hosp.ServiceHospApplication - The following profiles are active: dev
